({'Class Name: democrat', 'handicapped-infants: yes'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9102564102564102')
({'religious-groups-in-schools: yes', 'mx-missile: no', 'superfund-right-to-sue: yes'}, {'crime: yes'}, 'confidence: 0.9328859060402684')
({'mx-missile: no', 'crime: yes', 'superfund-right-to-sue: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9586206896551724')
({'religious-groups-in-schools: yes', 'duty-free-exports: no', 'superfund-right-to-sue: yes'}, {'crime: yes'}, 'confidence: 0.9285714285714286')
({'duty-free-exports: no', 'crime: yes', 'superfund-right-to-sue: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9407894736842105')
({'religious-groups-in-schools: yes', 'aid-to-nicaraguan-contras: no', 'superfund-right-to-sue: yes'}, {'mx-missile: no'}, 'confidence: 0.9295774647887324')
({'aid-to-nicaraguan-contras: no', 'mx-missile: no', 'superfund-right-to-sue: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9565217391304348')
({'religious-groups-in-schools: yes', 'crime: yes', 'adoption-of-the-budget-resolution: no'}, {'mx-missile: no'}, 'confidence: 0.9225352112676056')
({'religious-groups-in-schools: yes', 'mx-missile: no', 'adoption-of-the-budget-resolution: no'}, {'crime: yes'}, 'confidence: 0.9492753623188406')
({'mx-missile: no', 'crime: yes', 'adoption-of-the-budget-resolution: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9424460431654677')
({'religious-groups-in-schools: yes', 'aid-to-nicaraguan-contras: no', 'anti-satellite-test-ban: no'}, {'crime: yes'}, 'confidence: 0.9370629370629371')
({'aid-to-nicaraguan-contras: no', 'crime: yes', 'anti-satellite-test-ban: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9571428571428572')
({'religious-groups-in-schools: yes', 'crime: yes', 'anti-satellite-test-ban: no'}, {'mx-missile: no'}, 'confidence: 0.912751677852349')
({'religious-groups-in-schools: yes', 'mx-missile: no', 'anti-satellite-test-ban: no'}, {'crime: yes'}, 'confidence: 0.912751677852349')
({'mx-missile: no', 'crime: yes', 'anti-satellite-test-ban: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9577464788732394')
({'religious-groups-in-schools: yes', 'duty-free-exports: no', 'anti-satellite-test-ban: no'}, {'crime: yes'}, 'confidence: 0.9097222222222222')
({'duty-free-exports: no', 'crime: yes', 'anti-satellite-test-ban: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9632352941176471')
({'religious-groups-in-schools: yes', 'aid-to-nicaraguan-contras: no', 'crime: yes'}, {'mx-missile: no'}, 'confidence: 0.9230769230769231')
({'religious-groups-in-schools: yes', 'aid-to-nicaraguan-contras: no', 'mx-missile: no'}, {'crime: yes'}, 'confidence: 0.9411764705882353')
({'aid-to-nicaraguan-contras: no', 'mx-missile: no', 'crime: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9473684210526315')
({'religious-groups-in-schools: yes', 'duty-free-exports: no', 'aid-to-nicaraguan-contras: no'}, {'crime: yes'}, 'confidence: 0.9444444444444444')
({'duty-free-exports: no', 'aid-to-nicaraguan-contras: no', 'crime: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9444444444444444')
({'religious-groups-in-schools: yes', 'duty-free-exports: no', 'mx-missile: no'}, {'crime: yes'}, 'confidence: 0.9281045751633987')
({'duty-free-exports: no', 'mx-missile: no', 'crime: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9530201342281879')
({'aid-to-nicaraguan-contras: no', 'anti-satellite-test-ban: no'}, {'religious-groups-in-schools: yes', 'mx-missile: no'}, 'confidence: 0.912751677852349')
({'religious-groups-in-schools: yes', 'aid-to-nicaraguan-contras: no', 'anti-satellite-test-ban: no'}, {'mx-missile: no'}, 'confidence: 0.951048951048951')
({'religious-groups-in-schools: yes', 'mx-missile: no', 'anti-satellite-test-ban: no'}, {'aid-to-nicaraguan-contras: no'}, 'confidence: 0.912751677852349')
({'aid-to-nicaraguan-contras: no', 'mx-missile: no', 'anti-satellite-test-ban: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9577464788732394')
({'religious-groups-in-schools: yes', 'duty-free-exports: no', 'anti-satellite-test-ban: no'}, {'mx-missile: no'}, 'confidence: 0.9097222222222222')
({'duty-free-exports: no', 'mx-missile: no', 'anti-satellite-test-ban: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9632352941176471')
({'religious-groups-in-schools: yes', 'duty-free-exports: no', 'aid-to-nicaraguan-contras: no'}, {'mx-missile: no'}, 'confidence: 0.9444444444444444')
({'duty-free-exports: no', 'mx-missile: no', 'aid-to-nicaraguan-contras: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9577464788732394')
({'aid-to-nicaraguan-contras: yes', 'anti-satellite-test-ban: yes', 'mx-missile: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9132947976878613')
({'mx-missile: yes', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9693251533742331')
({'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no', 'mx-missile: yes'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9080459770114943')
({'aid-to-nicaraguan-contras: yes', 'anti-satellite-test-ban: yes', 'mx-missile: yes'}, {'el-salvador-aid: no'}, 'confidence: 0.9248554913294798')
({'mx-missile: yes', 'el-salvador-aid: no', 'anti-satellite-test-ban: yes'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.975609756097561')
({'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no', 'mx-missile: yes'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9142857142857143')
({'mx-missile: yes', 'anti-satellite-test-ban: yes', 'education-spending: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.954248366013072')
({'aid-to-nicaraguan-contras: yes', 'mx-missile: yes', 'education-spending: no'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9012345679012346')
({'superfund-right-to-sue: no', 'mx-missile: yes'}, {'aid-to-nicaraguan-contras: yes', 'anti-satellite-test-ban: yes'}, 'confidence: 0.9060402684563759')
({'superfund-right-to-sue: no', 'mx-missile: yes', 'anti-satellite-test-ban: yes'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9712230215827338')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes', 'mx-missile: yes'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9310344827586207')
({'aid-to-nicaraguan-contras: yes', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, {'el-salvador-aid: no'}, 'confidence: 0.9459459459459459')
({'el-salvador-aid: no', 'anti-satellite-test-ban: yes'}, {'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no'}, 'confidence: 0.9308510638297872')
({'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no', 'anti-satellite-test-ban: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9510869565217391')
({'el-salvador-aid: no', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9831460674157303')
({'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no', 'physician-fee-freeze: no'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9114583333333334')
({'aid-to-nicaraguan-contras: yes', 'anti-satellite-test-ban: yes', 'education-spending: no'}, {'physician-fee-freeze: no'}, 'confidence: 0.9352941176470588')
({'physician-fee-freeze: no', 'anti-satellite-test-ban: yes', 'education-spending: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9464285714285714')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes', 'anti-satellite-test-ban: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.95')
({'superfund-right-to-sue: no', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9620253164556962')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9156626506024096')
({'crime: no', 'anti-satellite-test-ban: yes'}, {'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no'}, 'confidence: 0.9594594594594594')
({'aid-to-nicaraguan-contras: yes', 'crime: no', 'anti-satellite-test-ban: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9861111111111112')
({'crime: no', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9726027397260274')
({'aid-to-nicaraguan-contras: yes', 'crime: no', 'physician-fee-freeze: no'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9102564102564102')
({'aid-to-nicaraguan-contras: yes', 'anti-satellite-test-ban: yes', 'education-spending: no'}, {'el-salvador-aid: no'}, 'confidence: 0.9411764705882353')
({'el-salvador-aid: no', 'education-spending: no'}, {'aid-to-nicaraguan-contras: yes', 'anti-satellite-test-ban: yes'}, 'confidence: 0.903954802259887')
({'el-salvador-aid: no', 'anti-satellite-test-ban: yes', 'education-spending: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9815950920245399')
({'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no', 'education-spending: no'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9195402298850575')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes', 'anti-satellite-test-ban: yes'}, {'el-salvador-aid: no'}, 'confidence: 0.925')
({'superfund-right-to-sue: no', 'el-salvador-aid: no'}, {'aid-to-nicaraguan-contras: yes', 'anti-satellite-test-ban: yes'}, 'confidence: 0.9079754601226994')
({'superfund-right-to-sue: no', 'el-salvador-aid: no', 'anti-satellite-test-ban: yes'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9801324503311258')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.925')
({'crime: no', 'anti-satellite-test-ban: yes'}, {'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no'}, 'confidence: 0.9324324324324325')
({'aid-to-nicaraguan-contras: yes', 'crime: no', 'anti-satellite-test-ban: yes'}, {'el-salvador-aid: no'}, 'confidence: 0.9583333333333334')
({'el-salvador-aid: no', 'crime: no'}, {'aid-to-nicaraguan-contras: yes', 'anti-satellite-test-ban: yes'}, 'confidence: 0.9019607843137255')
({'el-salvador-aid: no', 'crime: no', 'anti-satellite-test-ban: yes'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9787234042553191')
({'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no', 'crime: no'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.92')
({'superfund-right-to-sue: no', 'anti-satellite-test-ban: yes', 'education-spending: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9448275862068966')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes', 'education-spending: no'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9133333333333333')
({'mx-missile: yes', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, {'el-salvador-aid: no'}, 'confidence: 0.9447852760736196')
({'mx-missile: yes', 'el-salvador-aid: no', 'anti-satellite-test-ban: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9390243902439024')
({'mx-missile: yes', 'el-salvador-aid: no', 'physician-fee-freeze: no'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9221556886227545')
({'mx-missile: yes', 'anti-satellite-test-ban: yes', 'education-spending: no'}, {'physician-fee-freeze: no'}, 'confidence: 0.934640522875817')
({'superfund-right-to-sue: no', 'mx-missile: yes', 'anti-satellite-test-ban: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9640287769784173')
({'superfund-right-to-sue: no', 'mx-missile: yes', 'physician-fee-freeze: no'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9370629370629371')
({'mx-missile: yes', 'anti-satellite-test-ban: yes', 'education-spending: no'}, {'el-salvador-aid: no'}, 'confidence: 0.9411764705882353')
({'mx-missile: yes', 'el-salvador-aid: no', 'education-spending: no'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9171974522292994')
({'superfund-right-to-sue: no', 'mx-missile: yes', 'anti-satellite-test-ban: yes'}, {'el-salvador-aid: no'}, 'confidence: 0.9496402877697842')
({'superfund-right-to-sue: no', 'mx-missile: yes', 'el-salvador-aid: no'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9428571428571428')
({'physician-fee-freeze: no', 'anti-satellite-test-ban: yes', 'education-spending: no'}, {'el-salvador-aid: no'}, 'confidence: 0.9226190476190477')
({'el-salvador-aid: no', 'anti-satellite-test-ban: yes', 'education-spending: no'}, {'physician-fee-freeze: no'}, 'confidence: 0.950920245398773')
({'el-salvador-aid: no', 'physician-fee-freeze: no', 'education-spending: no'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9226190476190477')
({'superfund-right-to-sue: no', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, {'el-salvador-aid: no'}, 'confidence: 0.930379746835443')
({'superfund-right-to-sue: no', 'el-salvador-aid: no'}, {'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, 'confidence: 0.901840490797546')
({'superfund-right-to-sue: no', 'el-salvador-aid: no', 'anti-satellite-test-ban: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9735099337748344')
({'superfund-right-to-sue: no', 'el-salvador-aid: no', 'physician-fee-freeze: no'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9363057324840764')
({'crime: no', 'anti-satellite-test-ban: yes'}, {'el-salvador-aid: no', 'physician-fee-freeze: no'}, 'confidence: 0.9391891891891891')
({'crime: no', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, {'el-salvador-aid: no'}, 'confidence: 0.952054794520548')
({'el-salvador-aid: no', 'crime: no'}, {'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, 'confidence: 0.9084967320261438')
({'el-salvador-aid: no', 'crime: no', 'anti-satellite-test-ban: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9858156028368794')
({'el-salvador-aid: no', 'physician-fee-freeze: no', 'crime: no'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9328859060402684')
({'superfund-right-to-sue: no', 'anti-satellite-test-ban: yes', 'education-spending: no'}, {'physician-fee-freeze: no'}, 'confidence: 0.9448275862068966')
({'crime: no', 'anti-satellite-test-ban: yes', 'education-spending: no'}, {'physician-fee-freeze: no'}, 'confidence: 0.9849624060150376')
({'superfund-right-to-sue: no', 'anti-satellite-test-ban: yes', 'education-spending: no'}, {'el-salvador-aid: no'}, 'confidence: 0.9172413793103448')
({'superfund-right-to-sue: no', 'el-salvador-aid: no', 'education-spending: no'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9366197183098591')
({'mx-missile: yes', 'physician-fee-freeze: no'}, {'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no'}, 'confidence: 0.9111111111111111')
({'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no', 'mx-missile: yes'}, {'el-salvador-aid: no'}, 'confidence: 0.9425287356321839')
({'mx-missile: yes', 'el-salvador-aid: no'}, {'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no'}, 'confidence: 0.9162011173184358')
({'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no', 'mx-missile: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9371428571428572')
({'mx-missile: yes', 'el-salvador-aid: no', 'physician-fee-freeze: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9820359281437125')
({'aid-to-nicaraguan-contras: yes', 'mx-missile: yes', 'education-spending: no'}, {'physician-fee-freeze: no'}, 'confidence: 0.9444444444444444')
({'mx-missile: yes', 'physician-fee-freeze: no', 'education-spending: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9622641509433962')
({'superfund-right-to-sue: no', 'mx-missile: yes'}, {'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no'}, 'confidence: 0.9395973154362416')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes', 'mx-missile: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9655172413793104')
({'superfund-right-to-sue: no', 'mx-missile: yes', 'physician-fee-freeze: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9790209790209791')
({'mx-missile: yes', 'crime: no'}, {'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no'}, 'confidence: 0.9562043795620438')
({'aid-to-nicaraguan-contras: yes', 'crime: no', 'mx-missile: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9776119402985075')
({'mx-missile: yes', 'crime: no', 'physician-fee-freeze: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9776119402985075')
({'mx-missile: yes', 'education-spending: no'}, {'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no'}, 'confidence: 0.9005847953216374')
({'aid-to-nicaraguan-contras: yes', 'mx-missile: yes', 'education-spending: no'}, {'el-salvador-aid: no'}, 'confidence: 0.9506172839506173')
({'mx-missile: yes', 'el-salvador-aid: no', 'education-spending: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9808917197452229')
({'superfund-right-to-sue: no', 'mx-missile: yes'}, {'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no'}, 'confidence: 0.9194630872483222')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes', 'mx-missile: yes'}, {'el-salvador-aid: no'}, 'confidence: 0.9448275862068966')
({'superfund-right-to-sue: no', 'mx-missile: yes', 'el-salvador-aid: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9785714285714285')
({'duty-free-exports: yes', 'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no'}, {'el-salvador-aid: no'}, 'confidence: 0.9366197183098591')
({'duty-free-exports: yes', 'el-salvador-aid: no'}, {'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no'}, 'confidence: 0.9432624113475178')
({'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no', 'duty-free-exports: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9637681159420289')
({'duty-free-exports: yes', 'el-salvador-aid: no', 'physician-fee-freeze: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9779411764705882')
({'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no', 'export-administration-act-south-africa: yes'}, {'el-salvador-aid: no'}, 'confidence: 0.9295774647887324')
({'el-salvador-aid: no', 'export-administration-act-south-africa: yes'}, {'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no'}, 'confidence: 0.9103448275862069')
({'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no', 'export-administration-act-south-africa: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9361702127659575')
